"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN"
"US1MAMD0053","ACTON 4.0 ENE, MA US","42.4973","-71.3912","70.4","2019-01",,,,,,,"1.34",,,"4.42",,,,,,
"US1MAMD0053","ACTON 4.0 ENE, MA US","42.4973","-71.3912","70.4","2019-02",,,,,,,"1.40",,,"3.11",,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01","0",,"1","5",,"1.1","1.20","59","2960","3.63",,"2.1","30.8","38.5","23.0",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02","0",,"5","10",,"3.6","0.91","65","3841","3.45",,"11.6","33.5","40.7","26.3",
"US1MAMD0051","MAYNARD 0.7 ESE, MA US","42.4203","-71.4448","63.7","2019-01",,"7","4",,"7","7.0","1.48",,,"4.96",,"12.5",,,,
"US1MAMD0051","MAYNARD 0.7 ESE, MA US","42.4203","-71.4448","63.7","2019-02",,"16","6",,"4","3.0","1.46",,,"3.79",,"12.0",,,,
"US1MAMD0052","LEXINGTON 0.6 SW, MA US","42.4398","-71.2405","81.4","2019-01",,"7","4",,"8","6.1","1.08",,,"3.44",,"10.4",,,,
"US1MAMD0052","LEXINGTON 0.6 SW, MA US","42.4398","-71.2405","81.4","2019-02",,"19","4",,"4","3.8","1.40",,,"3.50",,"13.0",,,,
"US1MAMD0096","LEXINGTON 0.3 NE, MA US","42.4494","-71.2279","67.4","2019-01",,,,,,,"1.25",,,"1.86",,,,,,
"US1MAMD0096","LEXINGTON 0.3 NE, MA US","42.4494","-71.2279","67.4","2019-02",,,,,,,"0.79",,,"1.78",,,,,,
"US1MAMD0011","CAMBRIDGE 0.9 NNW, MA US","42.3876","-71.1253","14.6","2019-01",,,,,,,"1.69",,,"4.69",,,,,,
"US1MAMD0011","CAMBRIDGE 0.9 NNW, MA US","42.3876","-71.1253","14.6","2019-02",,,,,,,"1.71",,,"4.13",,,,,,
"US1MAMD0012","ACTON 1.3 SW, MA US","42.4675","-71.482","64.3","2019-01",,"7","4",,"7","6.1","1.34",,,"4.66",,"11.2",,,,
"US1MAMD0012","ACTON 1.3 SW, MA US","42.4675","-71.482","64.3","2019-02",,"20","5",,"5","3.1","1.52",,,"4.02",,"12.8",,,,
"US1MAMD0007","WINCHESTER 0.7 SE, MA US","42.4459","-71.1358","13.7","2019-01",,"6","2",,"7","6.2","1.25",,,"4.15",,"8.9",,,,
"US1MAMD0007","WINCHESTER 0.7 SE, MA US","42.4459","-71.1358","13.7","2019-02",,"11","4",,"4","3.2","1.38",,,"3.61",,"10.5",,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","42.47","-71.28944","40.5","2019-01","0",,,"0",,,"1.86","58","3491","2.58",,,"27.1","36.3","18.0",
"USW00014702","BEDFORD HANSCOM FIELD, MA US","42.47","-71.28944","40.5","2019-02","0",,,"-1",,,"0.86","64","4459","3.48",,,"30.4","39.3","21.6",
"US1MAWR0042","NORTHBOROUGH 2.3 N, MA US","42.3454","-71.6439","102.1","2019-01",,"12","3",,"6","4.5","1.37",,,"5.13",,"13.1",,,,
"US1MAWR0042","NORTHBOROUGH 2.3 N, MA US","42.3454","-71.6439","102.1","2019-02",,"20","4",,"4","3.3","1.35",,,"3.39",,"11.8",,,,
"USC00190593","BEVERLY, MA US","42.588","-70.8371","19.8","2019-01",,"5","1",,"6","5.0",,,,"3.27",,"6.0",,,,
"USC00190593","BEVERLY, MA US","42.588","-70.8371","19.8","2019-02",,"9",,,"4",,,,,,,,,,,
"USC00194313","LOWELL, MA US","42.6409","-71.3637","33.5","2019-01","0","7","4","-1","6","5.0","1.35","55","3518","4.39",,"9.6","26.0","34.9","17.0",
"USC00194313","LOWELL, MA US","42.6409","-71.3637","33.5","2019-02","0",,,"-1",,,"1.35","62","4490","3.31",,,"29.0","38.6","19.4",
"USC00198757","WALPOLE 2, MA US","42.1609","-71.2461","51.8","2019-01","0","6","1","-1","5","5.0","1.46","57","3352","6.03",,"6.4","28.8","37.6","20.0",
"US1MANF0011","MILLIS 2.0 SW, MA US","42.146","-71.3794","58.2","2019-01",,"4","2",,"4","3.5","1.34",,,"5.69",,"5.2",,,,
"US1MANF0011","MILLIS 2.0 SW, MA US","42.146","-71.3794","58.2","2019-02",,"7","3",,"4","4.0","0.97",,,"3.06",,"10.2",,,,
"US1MAPL0015","ABINGTON 1.2 NNE, MA US","42.1343","-70.9521","46.0","2019-01",,"1","1",,"2","2.0","1.46",,,"5.50",,"2.2",,,,
"US1MAPL0015","ABINGTON 1.2 NNE, MA US","42.1343","-70.9521","46.0","2019-02",,,"3",,,"4.0","1.10",,,"2.59",,"7.4",,,,
"US1MAES0008","MARBLEHEAD 0.8 SW, MA US","42.4921","-70.8758","11.6","2019-01",,,,,,,"1.16",,,"3.69",,,,,,
"US1MAES0008","MARBLEHEAD 0.8 SW, MA US","42.4921","-70.8758","11.6","2019-02",,,"4",,,"4.6","1.23",,,"3.33",,"13.2",,,,
"US1MAMD0080","LINCOLN 1.5 SW, MA US","42.404","-71.3242","62.2","2019-01",,,,,,,"1.11",,,"3.44",,,,,,
"US1MAMD0080","LINCOLN 1.5 SW, MA US","42.404","-71.3242","62.2","2019-02",,,,,,,"1.42",,,"3.30",,,,,,
"US1MANF0019","FOXBOROUGH 1.8 SSW, MA US","42.0421","-71.2646","65.2","2019-01",,,,,,,"1.74",,,"6.46",,,,,,
"US1MANF0019","FOXBOROUGH 1.8 SSW, MA US","42.0421","-71.2646","65.2","2019-02",,,,,,,"1.08",,,"3.69",,,,,,
"US1MAWR0001","MILFORD 2.3 NNW, MA US","42.179","-71.5339","121.0","2019-01",,,,,,,"1.41",,,"5.70",,,,,,
"US1MAWR0001","MILFORD 2.3 NNW, MA US","42.179","-71.5339","121.0","2019-02",,,,,,,"1.21",,,"3.53",,,,,,
"US1MAMD0081","WAKEFIELD 0.5 NNW, MA US","42.5117","-71.0701","38.7","2019-01",,"5","3",,"7","8.0","1.01",,,"3.63",,"11.2",,,,
